,method,dimension,mean,std,opt,min
0,Differential Evolution,1,0.013103088600001912,0.0018102969846776876,[420.96874594],-418.9828872724337
0,Simulated Annealing,1,0.1282843832333337,0.0055376889178958486,[420.96874715],-418.9828872724337
0,L-BFGS-B,1,0.002385800833326357,0.0012774036465531585,[420.96874411],-418.98288727243306
0,Differential Evolution,2,0.043718256633331974,0.006954428050931922,[420.96874005 420.96875751],-418.9828872724234
0,Simulated Annealing,2,0.2833989050666749,0.06592483690315484,[420.9687509 420.9687448],-418.9828872724322
0,L-BFGS-B,2,0.0029534340333365588,0.0008907109544618651,[420.96871451 420.96877182],-418.98288727232875
0,Differential Evolution,3,0.09623667726667691,0.01547552603893086,[420.96871364 420.96874444 420.968737  ],-418.9828872723849
0,Simulated Annealing,3,0.4004728805666673,0.08474604080768867,[420.96875946 420.96874045 420.96874136],-418.98288727242397
0,L-BFGS-B,3,0.0035546011666667708,0.0008706359067295589,[420.96866707 420.96868658 420.96876135],-418.9828872720095
0,Differential Evolution,4,0.20878965456666948,0.06527809127155638,[420.96874188 420.96874482 420.96877244 420.96874577],-418.9828872724115
0,Simulated Annealing,4,0.5202843215666633,0.09886730468116005,[420.96875229 420.96875856 420.96874276 420.96874795],-418.98288727242743
0,L-BFGS-B,4,0.004129416900006315,0.0009886379834490786,[-302.52495374  420.9686081   420.9687045   420.96867381],-389.37330361798945
0,Differential Evolution,5,0.3061940080999913,0.06999066559626044,[420.96878568 420.9687228  420.96875048 420.96875023 420.96880335],-418.98288727229794
0,Simulated Annealing,5,0.6360674656666655,0.11525179392443648,[420.96878    420.96875495 420.96874393 420.96874933 420.96872442],-418.9828872723907
0,L-BFGS-B,5,0.004650985600001907,0.0009272416817925248,[ 420.96881143  420.96880244 -500.          420.96874873  420.96878547],-371.3041415240004
0,Differential Evolution,6,0.4643214887333253,0.0947506877952327,"[420.96877889 420.96876563 420.96876469 420.96879261 420.968774
 420.96876462]",-418.9828872723285
0,Simulated Annealing,6,0.796058437166666,0.15611204726635353,"[420.96874245 420.96875026 420.96872367 420.96873939 420.96873654
 420.96872492]",-418.98288727240947
0,L-BFGS-B,6,0.005951079733334078,0.001514387736949434,"[ 420.96871206  420.96876925  420.96870248 -302.52497851 -302.52519334
  420.96863529]",-379.5034423991777
0,Differential Evolution,7,0.6239819398666687,0.1374047720093528,"[420.96877919 420.96880618 420.96872245 420.96879461 420.96874277
 420.96874064 420.9687283 ]",-418.9828872722907
0,Simulated Annealing,7,0.9123711013666707,0.16598186464516804,"[420.96874506 420.96876937 420.96872419 420.96879375 420.96867737
 420.96870979 420.96875765]",-418.98288727226264
0,L-BFGS-B,7,0.006305182433339951,0.0011908074625197303,"[ 420.96898778 -302.52481115  420.96880324 -124.82933626  420.96872111
  203.8142548  -302.52485089]",-311.8224512169004
0,Differential Evolution,8,0.9180840956666676,0.2288606591673424,"[420.9687499  420.96874164 420.96874049 420.96875867 420.96880268
 420.96873954 420.9687965  420.9686594 ]",-418.9828872722205
0,Simulated Annealing,8,1.0603340675000046,0.21534545542402314,"[420.96875925 420.96874733 420.96875668 420.96875104 420.96868172
 420.96874199 420.96878052 420.96873206]",-418.9828872723412
0,L-BFGS-B,8,0.010394971433332028,0.00220330256240105,"[ 420.96878194  420.9687287   420.96872324  203.81423074  203.81430367
  203.81415498 -124.82934685 -302.52496298]",-285.73738020410167
0,Differential Evolution,9,1.2618549645333246,0.3159059233071856,"[420.96876676 420.96874727 420.96875727 420.96875566 420.9687312
 420.9687621  420.96876005 420.9687374  420.96875273]",-418.982887272414
0,Simulated Annealing,9,1.1988021317333353,0.2421861786326703,"[420.9686979  420.96878605 420.96872323 420.96877977 420.96877749
 420.96871278 420.96881621 420.96874268 420.9687088 ]",-418.98288727223775
0,L-BFGS-B,9,0.008603600100006286,0.0023976334534126877,"[ 420.9688513  -302.52491351 -302.52486129 -124.8293508   420.9686752
 -124.82923945  203.81427233 -302.52493677  420.9685295 ]",-289.5753205211598
0,Differential Evolution,10,1.697986003600003,0.351729483959929,"[420.96871547 420.96861632 420.96868456 420.96869945 420.96863593
 420.96868141 420.96871157 420.96875984 420.96875098 420.96869361]",-418.9828872718723
0,Simulated Annealing,10,1.3076415530666585,0.2409997054243838,"[420.96879875 420.96867261 420.96875029 420.96889918 420.96874307
 420.96872751 420.96873502 420.96876495 420.96873144 420.96876504]",-418.9828872720177
0,L-BFGS-B,10,0.00797604860001305,0.0019446701453803407,"[ 420.96879556 -302.52479686  420.96861615  203.81427726  420.96877003
 -302.5249427  -302.52478664  420.96860454  203.81451193  -25.87747075]",-300.533460303115
0,Differential Evolution,11,2.299144356766654,0.625639689626004,"[420.96893512 420.96877338 420.96871468 420.96871885 420.96893668
 420.96879365 420.96878595 420.96871056 420.96882684 420.96868241
 420.9688797 ]",-418.9828872711974
0,Simulated Annealing,11,1.4271791334333177,0.2613247229585805,"[420.96872117 420.96872661 420.96874237 420.96869848 420.96882179
 420.96878759 420.96865828 420.96880669 420.96873686 420.96882809
 420.96872642]",-418.9828872720978
0,L-BFGS-B,11,0.008313034566666981,0.0023016945680975074,"[-500.          420.96885836 -302.52500729 -302.52491081  420.96880244
 -302.52485211  420.96887524  420.96903619 -302.52476089  420.96879388
  420.96899385]",-354.24224479725547
0,Differential Evolution,12,2.895732062733331,0.4516210401448629,"[420.96875588 420.96875576 420.96864539 420.96884069 420.96871515
 420.96875332 420.96857501 420.96884462 420.96874743 420.96881595
 420.96881217 420.96879197]",-418.98288727169165
0,Simulated Annealing,12,1.609798082933336,0.2851467053734833,"[420.96870509 420.96878557 420.96878122 420.96876146 420.96877216
 420.96870798 420.96869762 420.96853824 420.96880813 420.96870997
 420.96878946 420.96874259]",-418.9828872718078
0,L-BFGS-B,12,0.008583372466667545,0.0015465577237539102,"[-500.          420.96882153  420.96879901  -25.8773736  -124.82952681
  420.96882005 -302.52485393 -302.5249613     5.23922398  420.96874493
  420.96876902  420.9688302 ]",-287.206668569707
0,Differential Evolution,13,3.678501398799987,0.8226282988058461,"[420.9686276  420.96884742 420.96887355 420.9687378  420.96861522
 420.96872339 420.9686198  420.96861563 420.96863232 420.96870407
 420.96884697 420.96895844 420.96857134]",-418.98288727057064
0,Simulated Annealing,13,1.729853874833346,0.28865797888842004,"[420.96877725 420.96880115 420.9686974  420.96873083 420.96872473
 420.96872597 420.96875006 420.96872552 420.96869769 420.96871102
 420.9687527  420.96872237 420.96878168]",-418.9828872723035
0,L-BFGS-B,13,0.01077051346665788,0.0031521016720628147,"[-124.82921955  420.9687868  -302.52493914  203.81411357  420.96880938
  420.9687066  -302.52490295 -302.52482334 -302.52480782  -25.87730579
  420.96873988 -124.82937247  420.96862415]",-289.9054747779706
0,Differential Evolution,14,4.537628544600011,0.7298525558867525,"[420.96879267 420.96886197 420.96882751 420.96875465 420.96878556
 420.96864166 420.96874213 420.96880277 420.96863233 420.96866206
 420.96886358 420.96868272 420.96849007 420.96865816]",-418.9828872710887
0,Simulated Annealing,14,2.001267047433339,0.5219766211071211,"[420.96872963 420.96886488 420.96878268 420.96862814 420.96883336
 420.96883697 420.96876329 420.96875449 420.96870712 420.96863247
 420.96877259 420.96888338 420.96866209 420.96883515]",-418.98288727158007
0,L-BFGS-B,14,0.009656613666644867,0.0018282483665023057,"[ 203.81456505 -500.          420.96887445  420.96883768  420.96898922
 -302.52500627  203.81457394  420.96900665 -302.52497498  420.96900084
 -302.52479844  203.81426708  -25.87722357 -302.52498388]",-293.3781728094574
0,Differential Evolution,15,5.661114773633328,1.1704024725480047,"[420.96862594 420.96866868 420.96886705 420.96879768 420.96878237
 420.96869084 420.96895508 420.96885642 420.96872181 420.96866248
 420.96873077 420.96870035 420.96866269 420.96877796 420.9687312 ]",-418.98288727145774
0,Simulated Annealing,15,2.0116852341333242,0.35801572899306117,"[420.96879243 420.96880936 420.96875626 420.96882313 420.96882794
 420.96881743 420.96874358 420.96871039 420.96876186 420.96856924
 420.96880475 420.96872299 420.96874645 420.96862243 420.96876969]",-418.98288727178965
0,L-BFGS-B,15,0.010224843266678363,0.0018325201149590796,"[ 203.81403213 -302.52512186 -124.82935823  420.96871648 -302.52500822
 -302.52518336  203.8140109   203.8141131   420.96860975 -302.52489217
 -500.          420.96859878 -302.52488564  420.96876493  420.96848325]",-300.4421456866352
0,Differential Evolution,16,7.22377214823332,1.671349231806135,"[420.96862449 420.96854212 420.96870488 420.968635   420.96871571
 420.96873766 420.96869426 420.96883769 420.96872113 420.96878219
 420.96867074 420.96874384 420.96858964 420.96875566 420.96858343
 420.96871217]",-418.9828872713078
0,Simulated Annealing,16,2.122749842033325,0.35053123183115265,"[420.96877623 420.96870512 420.96876868 420.96875214 420.96866986
 420.96879046 420.96879781 420.96864075 420.96861197 420.96877246
 420.96872619 420.96871318 420.96878435 420.96869941 420.96860214
 420.96864685]",-418.9828872718081
0,L-BFGS-B,16,0.011725686900020568,0.0029174269863630727,"[-500.         -302.52503405 -500.          203.81425744  420.96887552
  203.81456428  420.96855421  420.9689224    65.547816    203.81400568
  420.96844026  203.81448472  420.9686596   420.96850023  420.96900317
 -302.52481771]",-297.8847179184421
0,Differential Evolution,17,8.69574903676665,1.9185965523470385,"[420.9687133  420.96858846 420.96873749 420.96859819 420.96879821
 420.96880861 420.96867756 420.96879618 420.96862134 420.9686895
 420.96851752 420.96858954 420.96872419 420.96871163 420.96886503
 420.96874609 420.96871512]",-418.98288727113913
0,Simulated Annealing,17,2.2475481331000235,0.3346028740812564,"[420.96873069 420.96859493 420.96870237 420.96870969 420.96865591
 420.96867752 420.96877534 420.96876594 420.96872735 420.96880724
 420.96871826 420.96865635 420.96871196 420.96878946 420.96874158
 420.96883081 420.96888198]",-418.982887271824
0,L-BFGS-B,17,0.01176158266666789,0.0027513103213624365,"[-302.5248352  -302.52486626  203.81448651  420.96891501  203.81431243
 -124.82920051 -302.5247349   420.96855695  420.968988   -500.
  420.96899885  420.96853496 -500.          420.96897664  420.9689955
  420.96868174 -302.52508219]",-320.1048373580816
0,Differential Evolution,18,10.372920011333312,1.4062510144779379,"[420.96875568 420.96877293 420.96868414 420.96867863 420.96851705
 420.96881246 420.9685834  420.96870544 420.96895263 420.96876599
 420.96872251 420.96884777 420.96872154 420.96873408 420.96839658
 420.96865347 420.96885431 420.96891666]",-418.98288727018615
0,Simulated Annealing,18,2.414666271033381,0.3738190705356538,"[420.96869387 420.96871511 420.96875983 420.96870181 420.96868511
 420.96869893 420.9688218  420.96880261 420.96867462 420.96873818
 420.96863134 420.96870954 420.96858684 420.96867024 420.96869014
 420.96875619 420.96849594 420.96872663]",-418.9828872714653
0,L-BFGS-B,18,0.012699206000039947,0.002251472214138623,"[-302.52531402   65.54747652  203.81417336  203.81407251  420.96847909
 -124.82921388 -302.52521477 -302.52497097 -124.82959715  420.96829452
  420.96849914 -302.52513715  203.81393096 -302.52498982 -500.
 -302.52525342  420.96901587 -302.52506385]",-270.847197705758
0,Differential Evolution,19,12.798149815666678,2.795892375216151,"[420.96885748 420.96860643 420.96873708 420.96876486 420.96874726
 420.96861801 420.96877591 420.96856865 420.96886696 420.96874726
 420.96874393 420.96870577 420.9687923  420.96858026 420.96853377
 420.9686655  420.96874535 420.96867808 420.96871083]",-418.98288727120615
0,Simulated Annealing,19,2.534848991766618,0.42021431349064065,"[420.96878137 420.96875832 420.96879545 420.96877217 420.96884829
 420.96872236 420.96882141 420.96879599 420.96875552 420.96874359
 420.96875812 420.96858817 420.96881994 420.96875181 420.96880902
 420.96884809 420.96877746 420.96872423 420.96874119]",-418.98288727196905
0,L-BFGS-B,19,0.019376666533298705,0.003873019295894122,"[ 420.9690999  -302.52480999 -302.5250238   203.81434968 -302.52467506
  420.96879075  420.96905114  420.96863422 -302.5249277   420.96901481
  420.96890692 -302.5247399   203.81412462  420.96886481  420.96858798
  203.81408444   65.54812098  203.81425365    5.2392643 ]",-301.55468507864526
0,Differential Evolution,20,15.623951886599995,3.0995926243419696,"[420.96871582 420.96882391 420.96871321 420.96857564 420.96836042
 420.96854576 420.96864457 420.96885516 420.96858459 420.96882508
 420.96881274 420.96880252 420.96888266 420.96878293 420.96869079
 420.9688595  420.96865766 420.9687918  420.96866011 420.96866902]",-418.9828872702402
0,Simulated Annealing,20,2.6790999047666446,0.38189356119414997,"[420.96893046 420.96888657 420.96856469 420.96883339 420.96867095
 420.96879447 420.96857813 420.968698   420.96878971 420.9689094
 420.96871348 420.96872547 420.96858152 420.96855771 420.96863313
 420.96861867 420.96867928 420.96884721 420.96855506 420.9688613 ]",-418.98288727042046
0,L-BFGS-B,20,0.013503748333353846,0.002231198523582121,"[   5.23924529   65.54789396 -302.52475927  203.81418014  420.9683277
  420.96892685  420.96884924 -302.52505092   65.54799569 -302.52465301
  420.96882096 -302.52512187 -302.52495639 -302.52517507 -124.82953614
  420.96880122  420.96895957   65.54791762 -302.52482916  420.96875602]",-277.8130859158729
0,Differential Evolution,21,17.859169931933334,3.4760021484565087,"[420.96898546 420.96856489 420.96908274 420.96878215 420.96885471
 420.9688135  420.96898931 420.96896252 420.96860668 420.96883011
 420.96861597 420.96881016 420.96905638 420.96895833 420.96883773
 420.96904357 420.96892606 420.96888225 420.96891668 420.96853446
 420.9683584 ]",-418.9828872671037
0,Simulated Annealing,21,2.837175240233319,0.4248871132619312,"[420.96882813 420.9685887  420.96872351 420.96880217 420.96871426
 420.96874627 420.96877192 420.96868022 420.96880118 420.96884745
 420.96877793 420.96890743 420.96875681 420.96871577 420.96874692
 420.96867355 420.96866712 420.96853023 420.96864937 420.96874623
 420.96893781]",-418.9828872713112
0,L-BFGS-B,21,0.013968265500034249,0.00274759725501924,"[ 420.96974834 -302.52450682  420.96927935  420.9692591  -124.82960452
  -25.87679199 -124.82848714  203.81464641  420.96866074  420.9690466
 -302.52453865  -25.87662229  420.96911525  420.9688761    65.54775841
  420.96891621 -302.52450148  203.81467655   65.54827066 -302.52486131
 -302.524492  ]",-270.45050133183867
0,Differential Evolution,22,21.862224138999924,4.2693904954834,"[420.96877452 420.96868012 420.96867806 420.96869985 420.96857698
 420.96884225 420.96882311 420.96882438 420.96889579 420.96885291
 420.96867477 420.96861918 420.96864309 420.96881216 420.96850553
 420.96878162 420.9685918  420.96865636 420.96898768 420.96869722
 420.96874023 420.96879437]",-418.9828872707929
0,Simulated Annealing,22,2.9696814574666557,0.4071241004542378,"[420.96875194 420.96882826 420.96896076 420.96861458 420.96878157
 420.96880986 420.96884702 420.96879088 420.96879453 420.96890288
 420.968721   420.96872986 420.96863979 420.96868522 420.9687764
 420.96893631 420.96860265 420.96877514 420.96865628 420.9687245
 420.96867049 420.96874467]",-418.9828872712688
0,L-BFGS-B,22,0.015346624333293828,0.003844004741334131,"[-500.          420.96875263 -302.52509413  420.96854013  203.81419784
  -25.87742731 -124.82953987 -302.52508649  420.96884259  420.96873258
 -302.52473096  420.96897613  420.96889123  420.96883771 -302.52491758
  420.96815801 -500.          203.81429398  203.81445981 -500.
 -124.82939179  203.81440436]",-280.59168014083804
0,Differential Evolution,23,26.457826773466543,4.335087084095743,"[420.96870439 420.9685661  420.9686975  420.96881978 420.9687451
 420.96866508 420.96877313 420.96895605 420.96856515 420.96878348
 420.9684649  420.96862614 420.9686879  420.96866739 420.96850102
 420.9688553  420.96850831 420.96878579 420.96895612 420.96868521
 420.96898545 420.96903681 420.96892497]",-418.9828872692391
0,Simulated Annealing,23,3.104276938266685,0.4385911111307263,"[420.96856026 420.96855927 420.96862298 420.96855266 420.96872852
 420.96859631 420.96872075 420.96876429 420.96895741 420.96873383
 420.96882093 420.96858139 420.96878806 420.96871665 420.96874183
 420.96877388 420.96872559 420.96879653 420.96889941 420.96883772
 420.96889016 420.96887693 420.96870264]",-418.98288727077994
0,L-BFGS-B,23,0.01698457669987571,0.0047630238537196175,"[ 203.81441009  420.96877893  420.96854527 -124.82915641  420.9691122
    5.23924395    5.23911634 -302.52491144 -500.          420.96907291
  420.96891583  203.81467366  420.9688924  -500.          -25.87756947
  420.96857741  203.81422068 -500.          420.96923454  420.96905107
 -302.52483031  420.96875211 -302.52488796]",-277.98301725219284
0,Differential Evolution,24,29.619010671933303,5.81321185422765,"[420.96858797 420.96881512 420.96903539 420.96878926 420.96885492
 420.96897969 420.96921351 420.96870946 420.96872277 420.96870936
 420.96872188 420.96878329 420.96882826 420.96879538 420.96886984
 420.96867411 420.96858215 420.96859327 420.96889704 420.9687523
 420.96878767 420.96878524 420.96882335 420.96878196]",-418.9828872697101
0,Simulated Annealing,24,3.2451719678000397,0.34452442571030173,"[420.96881773 420.96885234 420.96862795 420.96875922 420.9686728
 420.96880467 420.96870226 420.96839899 420.96870912 420.96876615
 420.96879109 420.96869148 420.96893992 420.96881329 420.96875533
 420.96883724 420.96851776 420.96853804 420.96873851 420.96878609
 420.96880586 420.96879294 420.96869896 420.96858848]",-418.9828872705978
0,L-BFGS-B,24,0.02588076360004076,0.007704548214172965,"[-302.52530244   65.54791984   65.5474307   420.96846248 -302.52531874
  420.96864164  420.9683604   -25.87775215  -25.8773735  -302.52523465
 -302.52464757  420.96830445 -302.52504906  420.96907002  420.96893067
 -124.82965561 -302.52514838 -500.          420.96880759 -302.52464667
   65.5481853  -302.52476786  420.9691558  -500.        ]",-269.97270317004137
0,Differential Evolution,25,34.91290082663342,7.774142361597549,"[420.96888497 420.96877414 420.96865888 420.96856798 420.96863577
 420.96857348 420.96910782 420.96873701 420.96881591 420.96846932
 420.96887809 420.96876109 420.96893595 420.96896557 420.96902803
 420.96897236 420.9686835  420.96872882 420.96858845 420.96868282
 420.9688908  420.9686871  420.96924205 420.9690839  420.96866753]",-418.98288726754106
0,Simulated Annealing,25,3.386142878366657,0.4041755727417295,"[420.96900799 420.96890601 420.96863373 420.96876517 420.96865565
 420.9688486  420.96875932 420.96865738 420.96885951 420.96867268
 420.96883909 420.96876019 420.96872154 420.96860076 420.9687934
 420.96847648 420.96891884 420.96888179 420.96859472 420.96868143
 420.96863763 420.96864926 420.96871005 420.96873876 420.96869028]",-418.98288727062317
0,L-BFGS-B,25,0.024428244899930483,0.0040307012609047295,"[ 203.81426375  420.96923582  203.81421117  203.81400811 -302.52526265
   65.54776997  420.96830945   65.54770888  420.96885623 -302.5247066
 -302.52435796  420.96825077  203.81365926 -302.52507696 -124.82904688
  420.96876194    5.23923886 -302.52446216  203.81433152  420.96901747
  420.96901419  203.81438967 -500.          203.81376589 -302.5251557 ]",-263.34922597175364
0,Differential Evolution,26,41.84990385960018,6.774972204595259,"[420.96890895 420.96822589 420.96906654 420.96878068 420.96838937
 420.9684218  420.9686714  420.96864286 420.96876751 420.96836728
 420.96898292 420.9687408  420.96868589 420.96863916 420.96890825
 420.96889972 420.96896325 420.96874506 420.96893655 420.96917572
 420.96878373 420.96881012 420.9686424  420.96893115 420.96908262
 420.96883161]",-418.9828872658651
0,Simulated Annealing,26,3.550976381433429,0.46857420698270674,"[420.9686003  420.96864562 420.96869064 420.9686818  420.96866703
 420.96868346 420.96889386 420.96876    420.96867113 420.96879205
 420.96863303 420.96878186 420.96863334 420.96874109 420.96878132
 420.96856058 420.968723   420.96870752 420.96896579 420.96861211
 420.96866862 420.96875791 420.96877535 420.96867984 420.96874231
 420.96849936]",-418.982887271065
0,L-BFGS-B,26,0.0177662818333071,0.0053470857625755016,"[ 203.81376725  420.96867622  203.81441938 -302.52505804    5.23888608
 -500.         -302.5253159  -124.82929862  203.81402841  420.96873027
 -124.82948873  420.96855363  420.96858395 -124.82951201  420.96878039
 -124.82935653 -302.52518716  203.81424646 -302.52517767  -25.87800051
  420.96887986 -302.52490776 -500.         -302.52487242  203.8142339
  420.96904996]",-254.84903419453025
0,Differential Evolution,27,44.08167658859984,5.910837012557449,"[420.96873458 420.9691593  420.96860971 420.96877481 420.9687158
 420.96877167 420.96837853 420.96877013 420.96853283 420.96881868
 420.96863365 420.96884817 420.96860209 420.96889725 420.96872673
 420.96872919 420.96876204 420.96828821 420.96881996 420.96876276
 420.96806262 420.96878789 420.96866514 420.96868525 420.96899865
 420.96868983 420.96834545]",-418.9828872660371
0,Simulated Annealing,27,3.664271354066659,0.47457757365099323,"[420.96878922 420.96888906 420.96873761 420.96880954 420.96860921
 420.96871565 420.96878716 420.96880691 420.96900953 420.96886234
 420.96871831 420.96891134 420.9689758  420.96892315 420.96900938
 420.96889151 420.96869312 420.96881971 420.96888004 420.96866703
 420.96874279 420.96899064 420.96868594 420.96872556 420.96880118
 420.96893847 420.96875028]",-418.9828872702265
0,L-BFGS-B,27,0.016829516133232875,0.00348081467325439,"[-124.83040193  203.81358542 -500.          203.81340797  420.96871919
  420.96783524 -302.52620994  203.8145109  -302.52522154 -124.83047745
 -302.524886    203.81423377  203.81322608 -500.          420.96879191
  203.81430426  420.96938485 -302.52624532 -302.52595004  -25.87726805
 -302.52551239  420.9687932   420.96864416  203.81501593  420.96916832
  203.81407898  420.96788176]",-274.1070288866636
0,Differential Evolution,28,49.09177993539973,4.042543813495559,"[420.96885972 420.96914143 420.96862265 420.96856952 420.96911326
 420.96884431 420.96872418 420.96872306 420.96880791 420.96887411
 420.96863458 420.96876996 420.96854213 420.96887468 420.96881442
 420.96885394 420.96911294 420.96872425 420.96836407 420.96898892
 420.96900042 420.96835123 420.96853262 420.96865782 420.96836462
 420.96841003 420.96879577 420.96821628]",-418.9828872651123
0,Simulated Annealing,28,3.8463295359333642,0.4603724841901285,"[420.96876249 420.96874136 420.96876904 420.96867919 420.96876611
 420.96869455 420.96874439 420.96882532 420.96872817 420.96874653
 420.96878979 420.96868084 420.96851986 420.96871015 420.96874354
 420.96886661 420.96865148 420.96873109 420.9687909  420.96881114
 420.9686785  420.9687389  420.96868359 420.96870155 420.96911334
 420.96891912 420.96871189 420.96898584]",-418.9828872709136
0,L-BFGS-B,28,0.020269288533321137,0.00487579322693484,"[ 420.96847375 -302.52493854  203.81414843 -302.52497376 -302.5247819
  203.814138    203.81441295  203.81369974  -25.87742845  203.81418145
 -302.5252571   203.81418022  420.96810235 -124.82910019   65.54767513
 -302.52521502  420.96908597  420.9686422   203.81431401 -302.52458718
  420.96852302  420.9683177  -302.52514928 -124.82938003  420.96854341
  420.96816775  420.96843307 -124.82906766]",-276.56810148792295
0,Differential Evolution,29,51.880691710633556,3.295683730870521,"[420.96899015 420.96907785 420.9688418  420.96859299 420.96847924
 420.96902686 420.968786   420.96897255 420.96867428 420.96882607
 420.96878947 420.96849688 420.96904203 420.96907914 420.96904866
 420.96915076 420.96865388 420.96881686 420.96875258 420.96901509
 420.96836278 420.9694171  420.96858813 420.96873503 420.96854977
 420.96846807 420.96848592 420.96843565 420.96825187]",-418.9828872630074
0,Simulated Annealing,29,4.018478842766732,0.492105586977166,"[420.96869091 420.96858104 420.96863356 420.96872758 420.96886884
 420.9687834  420.9686446  420.96879367 420.96850634 420.96906212
 420.96880446 420.96875084 420.96866198 420.96873825 420.96885431
 420.96866304 420.96900842 420.96865571 420.96864206 420.96892868
 420.96876678 420.96872423 420.96876149 420.96880958 420.96886076
 420.96899408 420.96892979 420.96881037 420.96875998]",-418.9828872702692
0,L-BFGS-B,29,0.018401876999875336,0.002695514300467085,"[-302.52487142 -124.82977956 -124.82990207  420.9682605  -302.52525719
   65.54795437 -302.52444303  420.96841639  203.81382336  420.96912284
 -302.52531655 -302.52516005 -302.525277     65.54810483  420.96872681
  203.81431128 -124.82964873  203.81461685   65.54795498 -500.
  420.9687774   420.96877994 -302.52535789 -124.82934341  203.81446159
  420.96853084 -302.52494939  -25.87746063  420.96820127]",-256.91979825155846
